time,Var2,Var3,Var4
SampleTimeMat,SampleTime,Exponent,Alpha
738239.000844907,24-Mar-2021 00:01:13,0.315127381588863,0.760382616923279
738239.001539352,24-Mar-2021 00:02:13,0.281912867745493,0.780084220356338
738239.00224537,24-Mar-2021 00:03:14,0.265654637469806,0.790104954696898
738239.002951389,24-Mar-2021 00:04:15,0.260363483688347,0.793421907998782
738239.003657407,24-Mar-2021 00:05:16,0.248978358450261,0.800654385429708
738239.004351852,24-Mar-2021 00:06:16,0.268809308184886,0.788140497984338
738239.00505787,24-Mar-2021 00:07:17,0.228875185430463,0.813752293036749
738239.005763889,24-Mar-2021 00:08:18,NaN,NaN
738239.006469907,24-Mar-2021 00:09:19,0.252113841897764,0.798649425106867
738239.007164352,24-Mar-2021 00:10:19,0.33083289657053,0.751409138274937
738239.00787037,24-Mar-2021 00:11:20,0.321002991242099,0.757000556872116
738239.008576389,24-Mar-2021 00:12:21,0.301320813568435,0.768450015994009
738239.009282407,24-Mar-2021 00:13:22,0.297589378153485,0.770659822618951
738239.009976852,24-Mar-2021 00:14:22,0.293860784604726,0.772880677657682
738239.01068287,24-Mar-2021 00:15:23,0.348554087893457,0.741534958795813
738239.011388889,24-Mar-2021 00:16:24,0.259817416783825,0.79376581612349
738239.012094907,24-Mar-2021 00:17:25,0.274446436035029,0.784654397175869
738239.012789352,24-Mar-2021 00:18:25,0.268202554422142,0.788517572774998
738239.013506944,24-Mar-2021 00:19:27,0.271234005489777,0.786637232548482
738239.014201389,24-Mar-2021 00:20:27,0.294354827428516,0.772585676515528
738239.014907407,24-Mar-2021 00:21:28,0.31422366290579,0.760905489853202
738239.015601852,24-Mar-2021 00:22:28,0.31087781682337,0.762847602702809
738239.016319444,24-Mar-2021 00:23:30,0.314737727051284,0.76060797482614
738239.017013889,24-Mar-2021 00:24:30,0.347061125138391,0.742356810198397
738239.017719907,24-Mar-2021 00:25:31,0.298139573335726,0.770333191083898
738239.018414352,24-Mar-2021 00:26:31,0.285644647547261,0.777819906852013
738239.019131944,24-Mar-2021 00:27:33,0.290735205037612,0.774752246701801
738239.019826389,24-Mar-2021 00:28:33,0.292566603859481,0.773654523499289
738239.020532407,24-Mar-2021 00:29:34,0.278288589075294,0.782295960823208
738239.021226852,24-Mar-2021 00:30:34,0.29529237674284,0.772026469046791
738239.021944444,24-Mar-2021 00:31:36,0.309182736059378,0.763835309202126
738239.022638889,24-Mar-2021 00:32:36,0.260075840087993,0.793603026251316
738239.023344907,24-Mar-2021 00:33:37,0.26875889424487,0.788171814626113
738239.024050926,24-Mar-2021 00:34:38,0.323048076788042,0.755830432426685
738239.024756944,24-Mar-2021 00:35:39,0.265987699933822,0.789897089878736
738239.025451389,24-Mar-2021 00:36:39,0.311506812688194,0.762481742622671
738239.026157407,24-Mar-2021 00:37:40,NaN,NaN
738239.026863426,24-Mar-2021 00:38:41,0.22885528060074,0.813765474085068
738239.027569445,24-Mar-2021 00:39:42,0.243258775558232,0.804337777186405
738239.028263889,24-Mar-2021 00:40:42,0.26012595962952,0.793571461930681
738239.028969907,24-Mar-2021 00:41:43,0.273095139811867,0.785487249717862
738239.029675926,24-Mar-2021 00:42:44,0.261060035061454,0.792983658348406
738239.030381944,24-Mar-2021 00:43:45,0.310438736831066,0.763103204975628
738239.031076389,24-Mar-2021 00:44:45,0.297378815245878,0.770784899713721
738239.031782407,24-Mar-2021 00:45:46,0.250661854261484,0.799576637436104
738239.032488426,24-Mar-2021 00:46:47,0.310215342243429,0.763233315744678
738239.033194444,24-Mar-2021 00:47:48,0.287335336495481,0.77679837696548
738239.033888889,24-Mar-2021 00:48:48,0.355857900989073,0.737540415754865
738239.034594907,24-Mar-2021 00:49:49,0.321576398232778,0.756672108655397
738239.035300926,24-Mar-2021 00:50:50,0.256053415791999,0.796144485120846
738239.036006944,24-Mar-2021 00:51:51,0.247062431144396,0.801884472682195
738239.036701389,24-Mar-2021 00:52:51,0.264356681297213,0.790916056198646
738239.037418981,24-Mar-2021 00:53:53,0.271269227441354,0.786615437874376
738239.038113426,24-Mar-2021 00:54:53,0.276159821790208,0.783600911833434
738239.038819444,24-Mar-2021 00:55:54,0.188362201401546,0.841494284167409
738239.039513889,24-Mar-2021 00:56:54,0.28204186058527,0.780005732062045
738239.040231481,24-Mar-2021 00:57:56,0.319306106124919,0.757974207318127
738239.040925926,24-Mar-2021 00:58:56,0.300422311361248,0.768980962002433
738239.041631944,24-Mar-2021 00:59:57,0.258055788668573,0.794877309104329
738239.042326389,24-Mar-2021 01:00:57,0.247401969846557,0.80166620237341
738239.043043982,24-Mar-2021 01:01:59,0.303301841885828,0.767281966357876
738239.04443287,24-Mar-2021 01:03:59,0.320075245296221,0.757532575179533
738239.045127315,24-Mar-2021 01:04:59,0.321328420462663,0.756814115638147
738239.045844907,24-Mar-2021 01:06:01,0.242852930037822,0.804600428442944
738239.046539352,24-Mar-2021 01:07:01,0.263921744503035,0.791188223756047
738239.04724537,24-Mar-2021 01:08:02,0.346029135968487,0.742925968894786
738239.047939815,24-Mar-2021 01:09:02,0.303895635125059,0.766932546640581
738239.048657407,24-Mar-2021 01:10:04,0.273077963657361,0.78549784738018
738239.049351852,24-Mar-2021 01:11:04,0.275646114849821,0.783916470531271
738239.05005787,24-Mar-2021 01:12:05,0.342689742950618,0.744773694183779
738239.050763889,24-Mar-2021 01:13:06,0.291535112649935,0.774272406693016
738239.051469907,24-Mar-2021 01:14:07,0.309982104218269,0.763369206937945
738239.052164352,24-Mar-2021 01:15:07,0.271757208368761,0.786313608776525
